cycle,first(COVID_Maths).S,first(COVID_Maths).E,first(COVID_Maths).I,first(COVID_Maths).H,first(COVID_Maths).M,first(COVID_Maths).D,first(COVID_Maths).R
75,3.7263187122283794,0.6828149210158828,0.22070642638312155,0.31146974908035163,8.650264630944125,23.25848762548385,67.2877173308009
76,3.726840465042509,0.6971729722633062,0.22527940884492698,0.3063632810961234,8.456890736478474,23.341514943020428,67.1789791435889
77,3.7213309647587924,0.7116037877282911,0.22997139192238253,0.3016608787982391,8.275261583886373,23.422758981448517,67.06645527249347
78,3.7102371213768,0.7257486103316945,0.2346665830583266,0.29732623558342697,8.104934639887388,23.50233107506367,66.95051471768394
79,3.6941398437117634,0.7392542592146403,0.23924824470575923,0.2933202394599321,7.945396181102411,23.580337513280046,66.83149044204559
80,3.6737358465478844,0.7517857961534823,0.243602354933018,0.289601706315864,7.79606477498353,23.65687886538326,66.70967736834442
81,3.6498136496597877,0.7630398772487189,0.24762173452575598,0.2861283274976842,7.656297605969584,23.732049365750623,66.58533114515039
82,3.62322494430421,0.7727576059867042,0.2512103115786349,0.2828577830742515,7.525399779111838,23.80593638970297,66.45866784971213
83,3.5948530339154208,0.7807356541703557,0.2542871425786122,0.2797489485075147,7.402636454952767,23.87862004891914,66.32986474036366
84,3.5655803956859686,0.7868345413216389,0.256789805658175,0.27676310605669135,7.287247378628009,23.950172931121344,66.1990620974603
85,3.5362574997618186,0.7909832519633253,0.25867683238301004,0.27386506652517295,7.178463103222808,24.02066000177438,66.06636610854858
86,3.5076748504321875,0.7931797795157213,0.25992894375043674,0.2710241135358075,7.075522011403678,24.090138676489985,65.93185267099959
87,3.4805398155412317,0.7934876454343874,0.26054898843228547,0.26821470067923986,6.977687140002077,24.158659062676566,65.79557191457107
88,3.45545926200817,0.7920288738252955,0.2605606243547007,0.26541685865620407,6.884261823570635,24.22626435887052,65.65755319646225
89,3.432928412022926,0.7889742363461747,0.26000591467748413,0.2626163003895752,6.7946032904854885,24.2929913912437,65.51781029805105
90,3.4133257686760716,0.7845317760417696,0.25894210639359544,0.2598042419800987,6.70813354750525,24.358871259905456,65.37634655690057
91,3.3969135027874158,0.7789346600426978,0.2574379124848628,0.2569769819220053,6.624347142732623,24.42393006336112,65.23315969671455
92,3.383842384450589,0.7724293175606171,0.25556962481702944,0.2541352972765307,6.542815665237226,24.48818966801498,65.08824616532809
93,3.3741601910008585,0.7652646295790767,0.25341735123950127,0.25128372249047537,6.4631890877262395,24.551668490706984,64.94160484841437
94,3.367822509616006,0.7576826967128624,0.2510616088007039,0.24842977495742816,6.385194260592731,24.61438226546493,64.79324008617613
95,3.3647049438003034,0.7499114658426977,0.24858042977580982,0.24558318321494024,6.308631006664754,24.676344770296694,64.64316397497403
96,3.3646158894995564,0.742159278050116,0.24604706138835883,0.24275516140916936,6.233366342502311,24.737568495261996,64.49139798083318
97,3.3673092322477722,0.7346112303851242,0.2435282735444394,0.239957759877056,6.159327369800026,24.798065238637204,64.3379739246419
98,3.3724965028401295,0.7274271295235871,0.24108323740994184,0.23720330847574092,6.0864933510137895,24.857846623229243,64.18293441929227
